title,course,createdBy,questions,passingScore,isPublished,attempts
MERN Stack Bootcamp Final Quiz,661c00000000000000000101,69f43975b1f44561851e9043,"[{'text': 'What does MERN stand for?', 'options': ['MongoDB, Express.js, React.js, Node.js', 'MySQL, Express.js, React.js, Node.js', 'MongoDB, Ember.js, React.js, Node.js', 'MongoDB, Express.js, Redux, Node.js'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which database is commonly used in the MERN stack?', 'options': ['PostgreSQL', 'MongoDB', 'Oracle', 'SQLite'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which library is used for building frontend user interfaces in MERN?', 'options': ['Angular', 'Vue', 'React', 'Laravel'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which runtime environment is used to run JavaScript on the server side?', 'options': ['Django', 'Node.js', 'Flask', 'Spring Boot'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which framework is commonly used with Node.js to create APIs?', 'options': ['Express.js', 'Bootstrap', 'Tailwind CSS', 'Next.js'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which React hook is used for managing state in functional components?', 'options': ['useRef', 'useState', 'useEffect', 'useMemo'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which method is used in Express.js to handle GET requests?', 'options': ['app.post()', 'app.put()', 'app.get()', 'app.delete()'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which command is used to initialize a Node.js project?', 'options': ['node start', 'npm init', 'npm build', 'node init'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which package is commonly used to connect Node.js with MongoDB?', 'options': ['mongoose', 'axios', 'cors', 'nodemon'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which HTTP method is generally used to update existing data?', 'options': ['GET', 'POST', 'PUT', 'OPTIONS'], 'correctAnswer': 2, 'points': 1}]",60,True,[]
React Basics Quiz,661c00000000000000000102,69f439b6b1f44561851e9045,"[{'text': 'What is React primarily used for?', 'options': ['Database management', 'Building user interfaces', 'Server-side routing', 'Operating systems'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which company developed React?', 'options': ['Google', 'Microsoft', 'Facebook', 'Amazon'], 'correctAnswer': 2, 'points': 1}, {'text': 'What is JSX in React?', 'options': ['A database query language', 'A syntax extension for JavaScript', 'A CSS framework', 'A backend library'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which hook is used to manage state in a functional component?', 'options': ['useFetch', 'useState', 'useEffect', 'useRouter'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which hook is used for side effects in React?', 'options': ['useEffect', 'useState', 'useReducer', 'useMemo'], 'correctAnswer': 0, 'points': 1}, {'text': 'How do you pass data from parent to child component?', 'options': ['Using props', 'Using state', 'Using hooks', 'Using reducers'], 'correctAnswer': 0, 'points': 1}, {'text': 'What is the correct way to render a list in React?', 'options': ['Using forEach() directly in JSX', 'Using map() to return elements', 'Using while loop in JSX', 'Using switch statement'], 'correctAnswer': 1, 'points': 1}, {'text': 'Why is a key prop important in React lists?', 'options': ['It adds CSS styles', 'It helps React identify changed items', 'It encrypts components', 'It stores state values'], 'correctAnswer': 1, 'points': 1}, {'text': 'What does useEffect with an empty dependency array do?', 'options': ['Runs on every render', 'Runs only once after initial render', 'Never runs', 'Runs before render'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is the purpose of React components?', 'options': ['To divide UI into reusable pieces', 'To store database records', 'To create API routes', 'To manage operating system tasks'], 'correctAnswer': 0, 'points': 1}]",60,True,[]
Advanced React Patterns Quiz,661c00000000000000000103,69f439f8b1f44561851e9047,"[{'text': 'What is the main purpose of React.memo()?', 'options': ['To memoize API requests', 'To prevent unnecessary re-renders of functional components', 'To manage component state', 'To cache CSS files'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which hook is commonly used to memoize computed values in React?', 'options': ['useEffect', 'useReducer', 'useMemo', 'useRef'], 'correctAnswer': 2, 'points': 1}, {'text': 'What does useCallback() return?', 'options': ['A memoized function', 'A memoized object', 'A state variable', 'A reducer function'], 'correctAnswer': 0, 'points': 1}, {'text': 'What problem does Context API help solve?', 'options': ['Routing issues', 'Prop drilling across deeply nested components', 'Server-side rendering', 'Database synchronization'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is a Higher-Order Component (HOC)?', 'options': ['A component that returns another component with enhanced functionality', 'A component with higher CSS priority', 'A component that only renders once', 'A built-in React router component'], 'correctAnswer': 0, 'points': 1}, {'text': 'What is the Render Props pattern in React?', 'options': ['Passing a function as a prop to share rendering logic', 'Using props to style components', 'Rendering props before state updates', 'Creating props dynamically from CSS'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which hook is best for storing mutable values without causing re-renders?', 'options': ['useState', 'useEffect', 'useRef', 'useMemo'], 'correctAnswer': 2, 'points': 1}, {'text': 'What is code splitting in React commonly achieved with?', 'options': ['React.lazy and Suspense', 'useReducer', 'useContext', 'React.memo'], 'correctAnswer': 0, 'points': 1}, {'text': 'When should useReducer be preferred over useState?', 'options': ['For simple boolean toggles only', 'For complex state logic with multiple transitions', 'Only for class components', 'Only for styling state'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is the purpose of Suspense in React?', 'options': ['To pause JavaScript execution', 'To handle asynchronous rendering such as lazy-loaded components', 'To prevent state updates', 'To replace useEffect'], 'correctAnswer': 1, 'points': 1}]",60,True,[]
Node API Development Quiz,661c00000000000000000104,69f43a2ab1f44561851e9049,"[{'text': 'What is Node.js primarily used for?', 'options': ['Designing graphics', 'Running JavaScript on the server', 'Creating spreadsheets', 'Managing operating systems'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which framework is most commonly used with Node.js for building APIs?', 'options': ['Laravel', 'Django', 'Express.js', 'Spring Boot'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which HTTP method is typically used to create a new resource?', 'options': ['GET', 'POST', 'DELETE', 'PATCH'], 'correctAnswer': 1, 'points': 1}, {'text': ""Which HTTP status code means 'Not Found'?"", 'options': ['200', '201', '404', '500'], 'correctAnswer': 2, 'points': 1}, {'text': 'What middleware is commonly used in Express to parse JSON request bodies?', 'options': ['express.json()', 'app.static()', 'router.use()', 'node.parse()'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which database is commonly paired with Node.js for document storage?', 'options': ['MongoDB', 'Oracle Forms', 'Microsoft Paint', 'Excel'], 'correctAnswer': 0, 'points': 1}, {'text': 'What does CRUD stand for?', 'options': ['Create, Read, Update, Delete', 'Copy, Run, Upload, Deploy', 'Create, Remove, Use, Debug', 'Connect, Reset, Update, Download'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which package manager comes bundled with Node.js?', 'options': ['pip', 'composer', 'npm', 'gem'], 'correctAnswer': 2, 'points': 1}, {'text': 'What is the purpose of environment variables in Node.js apps?', 'options': ['To store configuration values securely', 'To increase CPU speed', 'To replace routes', 'To style frontend pages'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which middleware is commonly used for handling errors in Express?', 'options': ['A custom middleware with (err, req, res, next)', 'express.static()', 'express.Router()', 'npm install error'], 'correctAnswer': 0, 'points': 1}]",60,True,[]
JavaScript Fundamentals Quiz,661c00000000000000000105,69f43a54b1f44561851e904b,"[{'text': 'Which keyword is used to declare a block-scoped variable in JavaScript?', 'options': ['var', 'let', 'define', 'constable'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is the result type of typeof null in JavaScript?', 'options': ['null', 'object', 'undefined', 'boolean'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which symbol is used for strict equality comparison?', 'options': ['=', '==', '===', '!='], 'correctAnswer': 2, 'points': 1}, {'text': 'Which method adds an item to the end of an array?', 'options': ['shift()', 'push()', 'pop()', 'unshift()'], 'correctAnswer': 1, 'points': 1}, {'text': ""What will parseInt('25px') return?"", 'options': ['25', 'NaN', '25px', '0'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which statement is used to handle errors in JavaScript?', 'options': ['catch-only', 'try...catch', 'errorHandle()', 'throwCatch()'], 'correctAnswer': 1, 'points': 1}, {'text': 'What does JSON stand for?', 'options': ['Java Source Object Notation', 'JavaScript Object Notation', 'Java Syntax Output Network', 'Joined Standard Object Name'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which array method creates a new array by transforming each element?', 'options': ['filter()', 'reduce()', 'map()', 'find()'], 'correctAnswer': 2, 'points': 1}, {'text': 'What value does an uninitialized variable declared with let have?', 'options': ['null', '0', 'undefined', 'false'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which keyword is used to define a function in JavaScript?', 'options': ['method', 'function', 'func', 'define'], 'correctAnswer': 1, 'points': 1}]",60,True,[]
Data Structures and Algorithms Quiz,661c00000000000000000106,69f43a84b1f44561851e904d,"[{'text': 'Which data structure follows the Last In, First Out (LIFO) principle?', 'options': ['Queue', 'Stack', 'Linked List', 'Tree'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which data structure follows the First In, First Out (FIFO) principle?', 'options': ['Stack', 'Queue', 'Graph', 'Heap'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is the time complexity of binary search on a sorted array?', 'options': ['O(n)', 'O(log n)', 'O(n log n)', 'O(1)'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which traversal method visits the root node first, then left subtree, then right subtree?', 'options': ['Inorder', 'Postorder', 'Preorder', 'Level order'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which sorting algorithm repeatedly swaps adjacent elements if they are in the wrong order?', 'options': ['Merge Sort', 'Quick Sort', 'Bubble Sort', 'Heap Sort'], 'correctAnswer': 2, 'points': 1}, {'text': 'What is the worst-case time complexity of Bubble Sort?', 'options': ['O(log n)', 'O(n)', 'O(n²)', 'O(n log n)'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which data structure is commonly used to implement recursion?', 'options': ['Queue', 'Stack', 'Array', 'Hash Table'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which data structure stores key-value pairs for fast lookup?', 'options': ['Hash Table', 'Stack', 'Queue', 'Tree Traversal'], 'correctAnswer': 0, 'points': 1}, {'text': 'What is the maximum number of children a binary tree node can have?', 'options': ['1', '2', '3', 'Unlimited'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which algorithmic technique solves problems by breaking them into overlapping subproblems?', 'options': ['Greedy Method', 'Dynamic Programming', 'Backtracking', 'Divide and Conquer'], 'correctAnswer': 1, 'points': 1}]",60,True,[]
Python for Beginners Quiz,661c00000000000000000107,69f43aadb1f44561851e904f,"[{'text': 'Which keyword is used to define a function in Python?', 'options': ['function', 'def', 'func', 'define'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which data type is used to store text in Python?', 'options': ['int', 'bool', 'str', 'float'], 'correctAnswer': 2, 'points': 1}, {'text': 'What is the correct file extension for Python files?', 'options': ['.pt', '.python', '.py', '.pyt'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which symbol is used for comments in Python?', 'options': ['//', '#', '/*', '--'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which function is used to display output in Python?', 'options': ['echo()', 'write()', 'print()', 'show()'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which collection type is ordered and mutable?', 'options': ['tuple', 'set', 'list', 'frozenset'], 'correctAnswer': 2, 'points': 1}, {'text': 'What is the result of 3 + 2 * 2 in Python?', 'options': ['10', '7', '12', '8'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which loop is used when the number of iterations is known?', 'options': ['for loop', 'while loop', 'do-while loop', 'repeat loop'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which keyword is used for conditional branching in Python?', 'options': ['switch', 'if', 'case', 'when'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which function returns the length of a list in Python?', 'options': ['count()', 'size()', 'length()', 'len()'], 'correctAnswer': 3, 'points': 1}]",60,True,[]
Machine Learning Basics Quiz,661c00000000000000000108,69f43af8b1f44561851e9051,"[{'text': 'What is Machine Learning?', 'options': ['A method of manually programming every rule', 'A way for computers to learn patterns from data', 'A hardware manufacturing process', 'A type of operating system'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which of the following is an example of supervised learning?', 'options': ['Clustering customers into groups', 'Predicting house prices using labeled data', 'Reducing image dimensions', 'Random data shuffling'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which algorithm is commonly used for classification problems?', 'options': ['Linear Regression', 'Logistic Regression', 'K-Means', 'PCA'], 'correctAnswer': 1, 'points': 1}, {'text': 'What does overfitting mean in Machine Learning?', 'options': ['Model performs well on training data but poorly on new data', 'Model is too small to learn patterns', 'Model trains too quickly', 'Model ignores training data'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which dataset is typically used to evaluate a trained model?', 'options': ['Training set', 'Test set', 'Raw dataset only', 'Duplicate set'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is the purpose of feature scaling?', 'options': ['To delete unnecessary data', 'To bring features to similar ranges', 'To increase dataset size', 'To convert labels to text'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which of the following is an unsupervised learning algorithm?', 'options': ['Decision Tree', 'K-Means Clustering', 'Linear Regression', 'Naive Bayes'], 'correctAnswer': 1, 'points': 1}, {'text': 'What does accuracy measure in classification?', 'options': ['How fast a model trains', 'Percentage of correct predictions', 'Size of the dataset', 'Number of features used'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which library is widely used for Machine Learning in Python?', 'options': ['NumPy', 'scikit-learn', 'Flask', 'Tkinter'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is a feature in Machine Learning?', 'options': ['The output prediction only', 'An input variable used for prediction', ""The model's accuracy score"", 'A chart generated after training'], 'correctAnswer': 1, 'points': 1}]",60,True,[]
Deep Learning with TensorFlow Quiz,661c00000000000000000109,69f43b31b1f44561851e9053,"[{'text': 'What is TensorFlow primarily used for?', 'options': ['Web design', 'Deep learning and machine learning development', 'Video editing', 'Database administration'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which company originally developed TensorFlow?', 'options': ['Microsoft', 'Google', 'Amazon', 'Meta'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is a neural network layer made up of?', 'options': ['Servers', 'Neurons (nodes)', 'Files', 'Databases'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which TensorFlow API is commonly used for building neural networks easily?', 'options': ['TensorFlow Lite', 'Keras', 'NumPy', 'Pandas'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is the purpose of an activation function?', 'options': ['To compress files', 'To introduce non-linearity into the model', 'To store training data', 'To delete gradients'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which activation function is commonly used in hidden layers?', 'options': ['ReLU', 'Binary Search', 'SoftDelete', 'HashMap'], 'correctAnswer': 0, 'points': 1}, {'text': 'What does epoch mean during model training?', 'options': ['One complete pass through the training dataset', 'One hidden layer', 'One test prediction', 'One gradient value'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which optimizer is widely used in TensorFlow for training models?', 'options': ['Adam', 'Bubble Sort', 'Quick Select', 'DFS'], 'correctAnswer': 0, 'points': 1}, {'text': 'What is overfitting in deep learning?', 'options': ['Model performs well on training data but poorly on new data', 'Model trains too slowly', 'Model has too few neurons', 'Model cannot save weights'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which TensorFlow method is commonly used to train a Keras model?', 'options': ['model.fit()', 'model.start()', 'model.run()', 'model.trainNow()'], 'correctAnswer': 0, 'points': 1}]",60,True,[]
UI UX Design Fundamentals Quiz,661c00000000000000000110,69f43b95b1f44561851e9055,"[{'text': 'What does UI stand for in design?', 'options': ['User Interaction', 'User Interface', 'Universal Input', 'Usage Index'], 'correctAnswer': 1, 'points': 1}, {'text': 'What does UX stand for?', 'options': ['User Experience', 'User Execution', 'Unified Experience', 'Usage Extension'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which of the following is primarily concerned with how a product looks?', 'options': ['UX Design', 'Backend Development', 'UI Design', 'Database Design'], 'correctAnswer': 2, 'points': 1}, {'text': 'Which of the following is primarily focused on user satisfaction and usability?', 'options': ['UI Design', 'UX Design', 'Server Design', 'SEO Design'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is a wireframe in UI/UX design?', 'options': ['A coded website', 'A basic layout or blueprint of a screen', 'A final colored prototype', 'A database schema'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which principle helps users easily understand clickable elements?', 'options': ['Affordance', 'Compression', 'Encryption', 'Caching'], 'correctAnswer': 0, 'points': 1}, {'text': 'What is the purpose of a prototype?', 'options': ['To permanently launch a product', 'To test and demonstrate design ideas', 'To replace research', 'To host databases'], 'correctAnswer': 1, 'points': 1}, {'text': 'Which color principle improves readability of text on backgrounds?', 'options': ['Low contrast', 'High contrast', 'Random contrast', 'No contrast'], 'correctAnswer': 1, 'points': 1}, {'text': 'What is user research used for in UX design?', 'options': ['Understanding user needs and behaviors', 'Writing backend APIs', 'Increasing server speed', 'Generating passwords'], 'correctAnswer': 0, 'points': 1}, {'text': 'Which tool is commonly used for UI/UX design and prototyping?', 'options': ['Figma', 'MongoDB', 'Node.js', 'Docker'], 'correctAnswer': 0, 'points': 1}]",60,True,[]
